date,HUL_sentiment
2020-01-06,
2020-01-11,-0.24510977044701576
2020-02-03,0.7692895941436291
2020-02-19,0.8672902323305607
2020-02-25,-0.42125335335731506
2020-02-27,0.6768020635936409
2020-02-28,-0.7981602698564529
2020-03-02,0.5805370025336742
2020-03-24,-0.02882133424282074
2020-03-28,0.05248264875262976
2020-04-01,-0.8162758518010378
2020-04-02,0.10018057469278574
2020-04-03,0.051378906704485416
2020-04-07,0.9264125525951385
2020-04-08,0.4329418884590268
2020-04-09,-0.9500819854438305
2020-04-12,0.28636358119547367
2020-04-22,0.7791225928813219
2020-04-30,0.8947495324537158
2020-05-04,-0.05539857689291239
2020-05-06,-0.9400290790945292
2020-05-07,0.026557247154414654
2020-05-08,0.06986311264336109
2020-05-13,0.04905246663838625
2020-05-28,-0.9515007454901934
2020-06-01,0.12073446251451969
2020-06-02,0.7185400202870369
2020-06-03,0.04302881099283695
2020-06-25,0.08136321324855089
2020-06-26,-0.3353942226618528
2020-07-01,-0.08841636311262846
2020-07-02,0.672667033970356
2020-07-03,0.038950780406594276
2020-07-05,0.29757650941610336
2020-07-10,-0.1530931070446968
2020-07-13,-0.9324829801917076
2020-07-21,0.05046842806041241
2020-07-22,0.007176002487540245
2020-07-24,-0.04433540813624859
2020-07-27,0.18559471517801285
2020-08-03,0.11197731643915176
2020-08-24,0.7282119560986757
2020-09-07,0.09018677473068237
2020-09-11,0.24819225072860718
2020-09-14,0.868449192494154
2020-09-19,-0.031756747514009476
2020-09-21,0.185588832013309
2020-10-01,-0.9529461804777384
2020-10-02,0.3128429278731346
2020-10-09,0.05769484769552946
2020-10-20,0.6117954552173615
2020-10-23,0.4264872372150421
2020-10-28,0.8933056332170963
2020-11-03,0.009489906951785088
2020-11-16,0.8914161957800388
2020-11-26,0.20761814061552286
2020-12-06,-0.3943747319281101
2020-12-07,0.9284578710794449
2020-12-09,0.059961291030049324
2020-12-15,0.6835813019424677
2020-12-21,0.2863282561302185
2020-12-22,0.350010110065341
2020-12-24,0.09376827999949455
2020-12-25,0.14106154069304466
2021-01-11,0.7657539146021008
2021-01-12,0.6773832850158215
2021-01-20,-0.12439075857400894
2021-01-21,0.13312122970819473
2021-01-25,0.019639129750430584
2021-01-27,0.042032478377223015
2021-01-28,0.8006904358044267
2021-02-01,0.22055823169648647
2021-02-15,-0.004882162436842918
2021-02-18,0.3085465356707573
2021-02-25,-0.9237582888454199
2021-02-26,0.054540970362722874
2021-03-01,0.21004584804177284
2021-03-03,0.9061417710036039
2021-03-22,0.03178904205560684
2021-03-27,0.25526329688727856
2021-03-30,0.015188399702310562
2021-04-22,0.22175342496484518
2021-04-29,-0.03599953278899193
2021-05-07,0.921165881678462
2021-05-12,-0.8387762466445565
2021-05-19,0.5478003341704607
2021-06-02,0.3684666948392987
2021-06-08,-0.2831167293091615
2021-06-14,-0.4820869117975235
2021-06-16,-0.9301357306540012
2021-06-21,-0.005422018468379974
2021-06-22,0.2007146030664444
2021-06-26,0.18438334856182337
2021-07-01,0.16634985990822315
2021-07-06,-0.0009629577398300171
2021-07-22,0.13050955440849066
2021-07-23,0.9307419322431087
2021-07-24,-0.31416654245307046
2021-08-20,0.03974394593387842
2021-08-21,0.1393083386744062
2021-08-25,0.10510945972055197
2021-08-31,0.7998390793800354
2021-09-07,0.12845515087246895
2021-09-09,-0.08693984150886536
2021-09-13,0.12390034645795822
2021-09-14,0.8359230235219002
2021-10-04,0.477940509095788
2021-10-15,0.5694640725851059
2021-10-19,0.07427623681724072
2021-10-25,-0.30449404132862884
2021-10-27,0.5903314538300037
2021-11-15,0.888736080378294
2021-11-26,0.006524654105305672
2021-12-06,0.5726518593728542
2021-12-10,0.011607373133301735
2021-12-17,0.05367795750498772
2021-12-29,0.05555168353021145
2021-12-31,0.4134902134537697
2022-01-14,0.7157021509483457
2022-01-17,0.004733443260192871
2022-01-20,-0.6852161735296249
2022-01-21,-0.9515420170500875
2022-01-25,-0.9454211238771677
2022-01-29,0.8037279774434865
2022-02-24,0.020190349780023098
2022-03-15,-0.23241816647350788
2022-03-22,0.006600221619009972
2022-03-23,0.020353287830948828
2022-03-25,0.4398331344127655
2022-03-31,-0.9331958629190922
2022-04-07,-0.44227956235408783
2022-04-11,0.11477218847721815
2022-04-16,0.023132067173719406
2022-04-20,0.04732688143849373
2022-04-21,-0.009469924494624138
2022-04-22,0.05444652959704399
2022-04-28,-0.5150135457515717
2022-05-05,0.6537298598947624
2022-05-27,0.26538062561303377
2022-06-08,-0.03361169248819351
2022-06-09,0.11740548629313707
2022-06-18,0.12543893791735172
2022-06-20,0.18681534752249718
2022-06-23,-0.050351180136203766
2022-06-25,0.8602421674877405
2022-06-29,0.1187486033886671
2022-07-01,-0.8880111612379551
2022-07-06,-0.7305652424693108
2022-07-15,0.37086369345585507
2022-07-19,0.2710363185033202
2022-07-20,0.9130583088845015
2022-07-22,0.454378847964108
2022-08-30,0.020743360742926598
2022-09-17,0.7347143613733351
2022-09-19,0.1429305262863636
2022-09-20,0.9068949581123888
2022-09-26,0.04486653953790665
2022-09-30,0.8828909322619438
2022-10-06,0.051922643557190895
2022-10-07,0.8286148458719254
2022-10-10,0.3407220197841525
2022-10-11,-0.898950757458806
2022-10-17,0.02809268981218338
2022-10-18,0.047535959631204605
2022-10-25,0.4800178501754999
2022-10-27,-0.8192280316725373
2022-10-31,-0.0075120870023965836
2022-11-09,0.30688619893044233
2022-11-10,-0.8817803482525051
2022-11-19,-0.9127010283991694
2022-11-29,0.06558331102132797
2022-12-07,0.9025512635707855
