date,M&M_sentiment
2020-01-18,
2020-01-21,0.9337910329923034
2020-02-21,0.5664690490812063
2020-02-27,-0.8960394524037838
2020-03-06,0.029662080109119415
2020-03-12,-0.93618044257164
2020-03-25,-0.9602163983508945
2020-03-30,-0.4721529148519039
2020-04-07,-0.946998723782599
2020-04-09,-0.028218843042850494
2020-05-08,0.8427186347544193
2020-06-02,0.09986862819641829
2020-06-12,0.9021935015916824
2020-07-14,0.750024759521087
2020-07-17,0.7296821912750602
2020-07-20,0.9000854436308146
2020-07-21,0.9142358209937811
2020-07-27,0.24020379036664963
2020-07-28,0.016442621126770973
2020-08-01,0.03288329765200615
2020-08-05,0.9264973104000092
2020-08-06,0.9107272978872061
2020-08-10,-0.8809839077293873
2020-08-20,0.880627378821373
2020-09-01,0.11659392062574625
2020-09-16,0.048148770816624165
2020-09-22,0.8933151923120022
2020-09-25,-0.9521421613171697
2020-10-02,-0.6080703586339951
2020-10-05,0.06936333980411291
2020-10-06,-0.6364825218915939
2020-10-07,0.46291005052626133
2020-10-11,0.6856372402980924
2020-10-13,0.9148275079205632
2020-10-16,0.014915267005562782
2020-10-19,0.921004256233573
2020-11-05,0.7890571393072605
2020-11-07,0.32097821682691574
2020-11-11,0.5974443042650819
2020-11-18,-0.8951397566124797
2020-11-26,0.8779087960720062
2020-11-27,0.17175428848713636
2020-12-11,0.10736634023487568
2020-12-14,0.02474995329976082
2020-12-16,0.622317848727107
2020-12-22,-0.9080451065674424
2021-01-01,0.015783926472067833
2021-01-02,-0.0029116161167621613
2021-01-11,-0.5012031514197588
2021-01-21,0.8905822820961475
2021-02-03,0.026915648952126503
2021-02-12,0.9207387110218406
2021-02-26,-0.018292412161827087
2021-03-01,-0.14768051076680422
2021-03-02,0.9330222122371197
2021-03-10,0.5011638877913356
2021-03-15,-0.9633502536453307
2021-03-27,0.7850807681679726
2021-03-30,0.044153195805847645
2021-04-05,0.8169269133359194
2021-04-19,0.009720020927488804
2021-04-22,0.12766510527580976
2021-04-30,0.278951408341527
2021-05-12,-0.04314962774515152
2021-05-28,-0.22410354763269424
2021-05-31,0.1758089018985629
2021-06-20,-0.8011255810658137
2021-06-22,0.20297794044017792
2021-06-28,-0.31904633715748787
2021-07-20,0.008646415546536446
2021-07-28,0.06929017137736082
2021-08-09,-0.09998658299446106
2021-08-16,-0.03098437562584877
2021-08-23,0.22347483038902283
2021-08-27,0.7372106984257698
2021-09-01,0.8981014583259821
2021-09-02,-0.3166796136647463
2021-09-09,-0.9390188995748758
2021-09-11,0.01740214414894581
2021-09-22,0.01339859701693058
2021-09-24,-0.9314990621060133
2021-09-30,0.6607161611318588
2021-10-02,0.05656376015394926
2021-10-07,0.18444217834621668
2021-10-08,0.7520227357745171
2021-10-13,0.8581439591944218
2021-10-25,0.1579871028661728
2021-11-02,0.2825478734448552
2021-11-09,0.04253661073744297
2021-11-10,-0.10706085991114378
2021-11-23,-0.046335681807249784
2021-12-09,0.0008638463914394379
2021-12-15,0.2077474407851696
2021-12-21,0.7602390199899673
2022-01-12,0.09241841826587915
2022-01-17,0.9049047660082579
2022-01-24,0.07869473099708557
2022-02-24,0.47097527189180255
2022-02-28,-0.7556756548583508
2022-03-04,0.43746947403997183
2022-03-17,-0.015850060153752565
2022-03-29,0.8979705199599266
2022-03-31,-0.010384202003479004
2022-04-01,-0.9008621089160442
2022-04-07,0.5527842584997416
2022-04-11,0.01588248647749424
2022-04-21,-0.04007144272327423
2022-04-22,0.886612962000072
2022-04-25,-0.5150135457515717
2022-05-16,-0.0010683462023735046
2022-05-30,0.584174171090126
2022-05-31,0.5205113678239286
2022-06-01,-0.009242807514965534
2022-06-23,-0.3281581997871399
2022-06-24,0.8013706728816032
2022-06-28,0.8609920963644981
2022-07-08,0.0825198766376291
2022-07-15,0.9187124911695719
2022-07-18,0.4562496393918991
2022-07-19,0.014468006789684296
2022-08-01,0.8354497328400612
2022-08-02,0.9058455005288124
2022-08-08,0.8914774619042873
2022-08-16,0.8250189274549484
2022-08-23,0.7926054522395134
2022-08-25,0.848646342754364
2022-09-08,0.04108142759650946
2022-09-19,0.7734278338029981
2022-09-20,0.44193311408162117
2022-09-21,0.05147265084087849
2022-09-22,0.7691255467012524
2022-09-23,-0.027091972529888153
2022-09-27,-0.9580586813390255
2022-09-29,0.020163660869002342
2022-10-03,-0.9230982139706612
2022-10-04,0.03592568449676037
2022-10-10,0.9187654536217451
2022-10-14,0.09163735341280699
2022-10-19,-0.002614060416817665
2022-10-25,0.08115344773977995
2022-10-27,-0.9428379852324724
2022-11-09,0.290786799043417
2022-11-10,0.031581513583660126
2022-11-17,0.02148802950978279
2022-11-24,-0.9343623258173466
2022-11-25,0.6916430215351284
2022-12-02,-0.3023222088813782
2022-12-05,-0.9149662125855684
2022-12-14,0.003463851287961006
2022-12-28,0.34729209418098134
2023-01-05,-0.8882667571306229
2023-01-07,0.8841927982866764
2023-01-17,-0.006278470158576965
2023-02-01,0.3108540321700275
2023-02-09,0.3923484981060028
2023-02-13,0.46436958480626345
2023-02-17,0.7946136933751404
2023-02-28,-0.01993246842175722
2023-03-09,0.1954384408891201
2023-03-10,-0.9571082731708884
2023-03-13,0.0003442782908678055
2023-03-16,0.5691927447915077
2023-03-20,-0.9066825583577156
2023-03-26,0.04542523808777332
2023-03-27,0.09773436468094587
2023-03-30,-0.9391674268990755
2023-04-05,0.9241128396242857
2023-04-06,-0.4188477974385023
2023-04-12,-0.9117740541696548
2023-04-13,0.03703905828297138
2023-04-17,0.11062537413090467
