date,INFY_sentiment
2020-01-11,
2020-01-13,-0.22516189888119698
2020-01-17,0.3264467120170593
2020-01-31,0.3152368701994419
2020-02-18,-0.011877596378326416
2020-03-17,-0.8653929159045219
2020-03-18,0.0288441083393991
2020-05-26,-0.02364908407131831
2020-06-04,-0.028687264770269394
2020-07-14,0.9279464986175299
2020-07-16,-0.8803505320101976
2020-07-26,0.1673799932003021
2020-07-30,0.00014763139188289642
2020-08-10,-0.012174786068499088
2020-09-02,0.933847377076745
2020-09-26,0.8339080903679132
2020-10-02,0.03982786275446415
2020-10-08,0.7858552392572165
2020-10-12,0.05733978748321533
2020-10-15,-0.43590247631073
2020-12-02,0.27720355801284313
2020-12-18,0.7938866904005408
2020-12-23,0.8891685139387846
2020-12-24,0.8782137546222657
2020-12-27,0.7734693083912134
2021-01-14,0.8527061641216278
2021-01-23,0.8286207411438227
2021-02-05,0.05954308342188597
2021-02-18,-0.9554607160389423
2021-03-30,0.20149837993085384
2021-03-31,0.8979214485734701
2021-04-12,0.9083548747003078
2021-04-16,0.26560194231569767
2021-05-21,-0.0056115612387657166
2021-06-02,0.03904034569859505
2021-06-08,0.009532801806926727
2021-06-11,0.7746094958856702
2021-06-14,0.3311386853456497
2021-07-07,-0.6182512491941452
2021-07-14,0.09100549016147852
2021-07-16,0.6857295036315918
2021-07-21,-0.31665918231010437
2021-07-28,0.06313134916126728
2021-07-30,0.9085584846325219
2021-08-03,-0.011503823101520538
2021-08-09,0.24142030626535416
2021-08-25,0.09060809388756752
2021-08-30,0.6338209435343742
2021-09-08,-0.026123203337192535
2021-09-20,-0.6576710380613804
2021-09-30,0.01923130452632904
2021-10-01,-0.6989780915901065
2021-10-07,-0.9333703685551882
2021-10-13,0.09049653820693493
2021-10-18,0.7141556655988097
2021-10-21,0.852774441242218
2021-10-22,-0.9476602440699935
2021-12-01,-0.9628742812201381
2021-12-02,0.22610278148204088
2021-12-22,0.8689154554158449
2022-01-06,0.5542815923690796
2022-01-12,0.30430717393755913
2022-01-13,0.9074811553582549
2022-02-16,0.49002910079434514
2022-02-17,0.13247817289084196
2022-03-28,-0.0009318739175796509
2022-04-07,0.8465724950656295
2022-04-08,0.9156696684658527
2022-04-11,0.2014757627621293
2022-04-13,0.11030549556016922
2022-04-17,0.4101592879742384
2022-04-18,-0.9617709927260876
2022-05-22,-0.9472681041806936
2022-05-23,0.03768305480480194
2022-05-26,0.04818923957645893
2022-06-07,0.11792948842048645
2022-06-11,0.058581627905368805
2022-06-17,-0.6999235078692436
2022-06-27,0.6536747273057699
2022-07-12,0.9203704856336117
2022-07-13,-0.9354676716029644
2022-07-14,0.06739784311503172
2022-07-25,-0.9336059456691146
2022-07-26,-0.9213724788278341
2022-08-15,-0.9139031184216341
2022-08-28,0.11040708050131798
2022-09-12,0.36610374599695206
2022-09-20,0.8566472381353378
2022-09-26,0.7854142487049103
2022-09-27,0.1914891116321087
2022-10-10,0.0679972879588604
2022-10-12,0.4531615898013115
2022-10-13,-0.6580744441598654
2022-10-14,0.33874570950865746
2022-10-17,0.8985783471725881
2022-10-23,0.7022051811218262
2022-10-25,0.014037448912858963
2022-11-04,0.07088261423632503
2022-12-03,0.13178878370672464
2022-12-08,0.8224137239158154
2022-12-12,0.022285040467977524
2022-12-14,0.6774138063192368
2022-12-19,0.02130555547773838
2022-12-22,-0.9555595302954316
2023-01-04,0.027173258364200592
2023-01-12,-0.10675641521811485
2023-01-13,0.9247208945453167
2023-01-26,0.9115170883014798
2023-01-27,0.7440724745392799
2023-02-15,0.10866729356348515
2023-02-17,0.4557013139128685
2023-02-22,-0.031981322914361954
2023-03-07,0.6692485101521015
2023-03-11,0.6220246907323599
2023-03-17,-0.6304999180138111
2023-03-18,-0.13933318853378296
2023-03-23,0.02623060904443264
2023-03-24,0.39479843713343143
2023-04-04,-0.8910332005470991
2023-04-11,-0.9562237653881311
2023-04-13,0.8931032810360193
2023-04-14,0.5835828579341372
2023-04-17,0.419981868006289
2023-04-18,-0.6196247279644013
2023-04-24,-0.9276375062763691
2023-04-25,-0.9655033405870199
2023-05-12,-0.6759863831102848
2023-05-15,-0.03175075724720955
2023-05-16,0.0483095059171319
2023-05-19,0.012431057170033455
2023-05-24,-0.7898025214672089
2023-06-02,-0.0014542415738105774
2023-06-06,0.021581852808594704
2023-06-07,-0.7724449783563614
2023-06-09,-0.7445676028728485
2023-06-14,0.32594443298876286
2023-06-22,0.7220649332739413
2023-06-23,-0.6384319234639406
2023-07-18,0.28715208312496543
2023-07-19,0.7276301295496523
2023-07-20,0.5899952203035355
2023-07-21,-0.08702770387753844
2023-08-10,-0.5863940110430121
2023-08-14,-0.36934830248355865
2023-08-28,0.8817941565066576
2023-09-27,0.15558232739567757
2023-10-02,0.8744523469358683
2023-10-05,0.00413518026471138
2023-10-11,-0.9543134877458215
2023-10-12,0.037641916424036026
2023-10-13,-0.9584165355190635
2023-10-14,-0.23136799735948443
2023-10-18,-0.9634396294131875
2023-10-20,0.7705254890024662
2023-10-25,-0.013680942356586456
2023-10-30,-0.5091523453593254
2023-11-15,0.004573538899421692
2023-11-23,0.22729872446507215
2023-11-29,-0.2785034477710724
2023-12-14,-0.017300264909863472
2023-12-15,-0.014458699151873589
2024-01-04,0.16326600685715675
2024-01-11,-0.7039522081613541
2024-01-12,-0.16121075954288244
2024-02-06,0.16730733960866928
2024-02-07,0.8379475846886635
2024-02-09,-0.9648795020766556
2024-02-12,-0.9653356894850731
2024-02-13,0.8162245973944664
2024-02-14,0.8868898851796985
