date,MACRO_sentiment
2020-01-02,
2020-01-03,-0.051667969673871994
2020-01-07,-0.09024098981171846
2020-01-13,0.7228633612394333
2020-01-14,-0.42268807627260685
2020-01-16,-0.0906812772154808
2020-01-19,0.17067010328173637
2020-01-23,-0.7367428913712502
2020-01-31,0.027457892894744873
2020-02-06,-0.34363603591918945
2020-02-08,0.270597026993831
2020-02-09,-0.5980064645409584
2020-02-10,0.016513628885149956
2020-02-14,0.15051002521067858
2020-02-17,0.20656382602949938
2020-02-19,-0.042607130482792854
2020-02-20,0.10970551520586014
2020-02-21,-0.03359188511967659
2020-02-24,-0.07390714436769485
2020-03-02,-0.01140703447163105
2020-03-11,-0.8634084090590477
2020-03-12,-0.6805031336843967
2020-03-17,-0.23730008164420724
2020-03-18,0.04387438856065273
2020-03-22,-0.9423770010471344
2020-03-23,0.43813110515475273
2020-03-25,0.22222157567739487
2020-03-26,-0.8352140188217163
2020-03-27,-0.06813876330852509
2020-03-28,-0.29972236772829836
2020-04-01,0.011201494683821997
2020-04-02,0.40601884108036757
2020-04-06,0.8780276998877525
2020-04-08,0.020873213186860085
2020-04-14,-0.3744819760322571
2020-04-15,-0.5864044819027185
2020-04-16,0.024332864210009575
2020-04-17,-0.6621587201952934
2020-04-20,-0.3611724153161049
2020-04-24,0.4586568232625723
2020-04-29,-0.001844596117734909
2020-05-03,-0.8393455781042576
2020-05-04,0.20466332230716944
2020-05-05,-0.9548071268945932
2020-05-06,-0.05370793491601944
2020-05-12,-0.9502147063612938
2020-05-13,-0.8067421577870846
2020-05-16,-0.9464350249618292
2020-05-18,-0.004709005355834961
2020-05-21,0.00010211020708084106
2020-05-22,0.05289241671562195
2020-05-23,-0.34586126962676644
2020-05-24,-0.9437776021659374
2020-05-28,-0.007035207003355026
2020-05-29,-0.8203697428107262
2020-05-30,0.6619840068742633
2020-06-02,-0.015509184449911118
2020-06-03,-0.4809657782316208
2020-06-10,0.036450063809752464
2020-06-23,-0.2802988635376096
2020-06-24,0.1445031873881817
2020-06-26,-0.5979399420320988
2020-06-27,0.05904451571404934
2020-06-28,0.009535223245620728
2020-07-01,0.1755958152934909
2020-07-02,-0.43550241086632013
2020-07-03,0.016090966761112213
2020-07-09,-0.02145054005086422
2020-07-12,-0.02633628249168396
2020-07-20,0.6981739290058613
2020-07-23,-0.36967519484460354
2020-07-24,-0.5259247347712517
2020-07-25,0.0013874154537916183
2020-07-26,-0.07759349048137665
2020-07-27,-0.6165544129908085
2020-07-29,-0.8556187972426414
2020-07-31,0.15597016923129559
2020-08-01,-0.17325766803696752
2020-08-02,-0.1665957346558571
2020-08-03,0.01892734318971634
2020-08-05,-0.6508222073316574
2020-08-06,-0.04444326460361481
2020-08-07,-0.03142964839935303
2020-08-09,0.011738883331418037
2020-08-10,0.1664050668478012
2020-08-12,-0.007966544479131699
2020-08-18,-0.16626903414726257
2020-08-19,-0.3762213736772537
2020-08-21,0.3619815604761243
2020-08-24,0.02509380877017975
2020-08-26,-0.21278547495603561
2020-08-27,0.28872003965079784
2020-08-28,-0.918718883767724
2020-08-31,-0.4728958774358034
2020-09-01,-0.393542880192399
2020-09-02,-0.10907898843288422
2020-09-07,0.4065623041242361
2020-09-14,0.04375477693974972
2020-09-15,-0.040942033752799034
2020-09-18,0.040692972019314766
2020-09-21,0.08068084623664618
2020-09-30,0.11447788681834936
2020-10-04,-0.06427384167909622
2020-10-05,-0.3970567202195525
2020-10-07,0.0003296881914138794
2020-10-09,-0.05890272185206413
2020-10-12,0.11912277899682522
2020-10-14,-0.07736262679100037
2020-10-15,-0.09385596960783005
2020-10-17,0.7356350459158421
2020-10-21,0.02847878448665142
2020-10-23,0.2659718431532383
2020-10-27,0.031943248119205236
2020-10-29,0.051112422719597816
2020-10-30,0.12972408346831799
2020-10-31,0.6312792059034109
2020-11-03,-0.793037835508585
2020-11-04,0.05175717920064926
2020-11-05,-0.5749026611447334
2020-11-06,0.08031992800533772
2020-11-12,0.4801939772441983
2020-11-17,0.09884435683488846
2020-11-18,0.15121673978865147
2020-11-19,-0.12509266287088394
2020-11-21,-0.47973841428756714
2020-11-24,0.0028541628271341324
2020-11-26,-0.8852312602102757
2020-11-27,-0.9542991137132049
2020-11-30,-0.6707067778334022
2020-12-01,0.03260686807334423
2020-12-03,0.024882757104933262
2020-12-04,0.9267217256128788
2020-12-05,0.08709757030010223
2020-12-06,0.14681206922978163
2020-12-07,-0.0361029002815485
2020-12-10,-0.33599910140037537
2020-12-11,-0.0012106690555810928
2020-12-15,0.0810552192851901
2020-12-18,0.029072376899421215
2020-12-21,0.2759393472224474
2020-12-23,0.9356936477124691
2020-12-27,-0.18506224174052477
2020-12-31,0.03955973498523235
2021-01-07,-0.020091835409402847
2021-01-08,-0.8820669092237949
2021-01-11,0.039162296801805496
2021-01-12,-0.021548591554164886
2021-01-15,-0.20526855438947678
2021-01-18,-0.016379907727241516
2021-01-24,0.02126062475144863
2021-01-26,-0.01728556677699089
2021-01-27,-0.031033337116241455
2021-01-29,0.2299656281247735
2021-01-31,0.3344438970088959
2021-02-02,-0.8797399364411831
2021-02-04,0.11295994650572538
2021-02-05,0.01729411631822586
2021-02-09,0.16533429524861276
2021-02-10,-0.32386884465813637
2021-02-11,0.13561489386484027
2021-02-17,-0.44980553537607193
2021-02-21,-0.09597229585051537
2021-02-22,0.1915346011519432
2021-02-23,-0.14325741864740849
2021-02-24,0.1280996068380773
2021-02-26,0.022847408428788185
2021-03-01,0.5956617444753647
2021-03-02,0.36990523943677545
2021-03-04,-0.27657321467995644
