date,headline,source,sentiment
2020-05-21 07:00:00+00:00,"Significant scope to bring India's Interest rates down: Sanjeev Sanyal, Principal Economic Advisor to FM",The New Indian Express,0.05289241671562195
2020-02-17 08:00:00+00:00,Bank savings account interest rate at 7%. Check latest rates here,Mint,-0.042607130482792854
2020-02-06 08:00:00+00:00,Repo boost to liquidity,Telegraph India,0.9211164899170399
2020-02-14 08:00:00+00:00,"New Fixed Deposit (FD) rates by SBI, Axis Bank, Bank of Baroda: Compare here",Elets BFSI,0.017153017222881317
2020-04-17 07:00:00+00:00,"Covid-19 update: RBI cuts reverse repo rate to 3.75%, keeps repo rate unchanged | Business News",Hindustan Times,-0.3611724153161049
2020-03-25 07:00:00+00:00,India headed for rare quarterly contraction on coronavirus lockdown,The Economic Times,-0.8352140188217163
2020-03-27 07:00:00+00:00,In Charts I Coronavirus crisis: Magnitude of RBI rate cut and how it compares with peers',Moneycontrol,0.06538153626024723
2020-05-03 07:00:00+00:00,India Post offers higher interest rate on savings deposit than subsidiary Bank,BusinessLine,0.20466332230716944
2020-03-23 07:00:00+00:00,Finzy launches personal loan at affordable rate at 7.99%,The Times of India,0.22222157567739487
2020-02-10 08:00:00+00:00,State Bank Of India (SBI) to offer new returns on these Fixed Deposits From February 10,Elets BFSI,0.15051002521067858
2020-06-24 07:00:00+00:00,"Nivesh Lakshya Fund is timing and interest-rate agnostic, says Prashant Pimple of Nippon India MF",The Economic Times,-0.5979399420320988
2020-07-01 07:00:00+00:00,Home loan rates of public sector banks turn attractive,Mint,-0.8740303311496973
2020-04-14 07:00:00+00:00,What affects the gold price in India?,The Times of India,-0.2639374788850546
2020-03-28 07:00:00+00:00,"RBI Cuts Rates, Allows 3-Month Pause On EMIs To Offset Coronavirus Impact, Other Top Stories",NDTV,-0.23539046198129654
2020-01-03 08:00:00+00:00,Home loan interest rate falls below 8% for first time in 15 years – Check SBI offers,The Financial Express,-0.9406474810093641
2020-05-16 07:00:00+00:00,Latest Post Office Interest Rates – April to June-2020,Myinvestmentideas,-0.004709005355834961
2020-01-31 08:00:00+00:00,"IMF Offers Glimmer Of Hope To India's Economy, Says Growth Rate Low But It's Far From Recession",Indiatimes,-0.34363603591918945
2020-03-11 07:00:00+00:00,SBI cuts interest rate on savings accounts; removes minimum balance requirement,The Times of India,-0.7945986837148666
2020-02-06 08:00:00+00:00,RBI Holds Rates Steady As Expected Amid Accelerating Inflation,TheWire.in,0.08702507615089417
2020-03-27 07:00:00+00:00,From halt in EMIs to rate cut: Key takeaways from RBI Governor's address,Mint,0.01401929184794426
2020-04-01 07:00:00+00:00,"COVID-19 Effect: Even as FDs turn dull, stay with safe instruments in current times",The Indian Express,0.09863168187439442
2020-04-08 07:00:00+00:00,India's economy needs big dose of health spending,Mint,0.2036861889064312
2020-01-13 08:00:00+00:00,"India’s Inflation Rate Hits A Staggering 7.35%, Highest Since 2014. All Is Clearly Not Well.",Indiatimes,-0.9243288896977901
2020-05-04 07:00:00+00:00,"In lockdown, India’s manufacturers see their biggest slump yet",Al Jazeera,-0.9548071268945932
2020-06-10 07:00:00+00:00,Why SFBs are offering higher deposit rates than large commercial banks?,Mint,0.09233429096639156
2020-02-19 08:00:00+00:00,Explained: India’s ‘imported’ food inflation,The Indian Express,0.10970551520586014
2020-04-06 07:00:00+00:00,Does it make sense to buy RBI 7.75% bonds in low-rate regime?,Mint,0.020873213186860085
2020-03-12 07:00:00+00:00,"SBI FD rates below 6%, lowest since ’04",The Times of India,-0.9598285080865026
2020-02-14 08:00:00+00:00,RBI’s lending push amid inflation to crimp fixed deposit (FD) returns,Mint,0.5947029739618301
2020-04-29 07:00:00+00:00,SBI's 1-year FD is offering lower interest rate than some banks' savings accounts,The Economic Times,-0.8393455781042576
2020-04-20 07:00:00+00:00,Explained: How reverse repo rate became benchmark interest rate in the economy,The Indian Express,-0.008214430883526802
2020-03-27 07:00:00+00:00,RBI moratorium: How does the rate cut help you? 8 questions answered,Moneycontrol,0.020786691457033157
2020-03-11 07:00:00+00:00,"SBI pares savings account interest rate to 3%, scraps minimum balance fine",Business Standard,-0.5664075836539268
2020-01-03 08:00:00+00:00,Best FD Interest Rates in Jan-2020 | Highest Bank FD Rates in India,Myinvestmentideas,0.7601655013859272
2020-04-02 07:00:00+00:00,Interest cut in small-savings: Rates still attractive in many schemes,Moneycontrol,0.8780276998877525
2020-06-23 07:00:00+00:00,Why floating rate home loans hold an edge over their fixed interest peers,Moneycontrol,0.059371329843997955
2020-03-28 07:00:00+00:00,SBI new fixed deposit (FD) rates from today. Latest rates here,Mint,0.007406849414110184
2020-01-14 08:00:00+00:00,SBI FD interest rates slashed! Check all details of fixed deposit rates here as per sbi.co.in,Zee Business,-0.10385677963495255
2020-05-18 07:00:00+00:00,SBI's new FD rates come into effect. Check the rates here,The Economic Times,0.00010211020708084106
2020-04-01 07:00:00+00:00,"PPF, Sukanya Yojana to NSC, small saving schemes interest rates cut by government; you will get this much now",Zee Business,0.7134060002863407
2020-06-02 07:00:00+00:00,SBI cuts savings bank deposit rates by 5 bps to 2.70%,The Times of India,-0.4809657782316208
2020-05-05 07:00:00+00:00,Yes Bank NRI Deposit Account Interest Rates | Business News,The Times of India,-0.05370793491601944
2020-02-09 08:00:00+00:00,"RBI to conduct long-term repo operations on Feb 17, 24 for ₹50,000 crore",Mint,0.016513628885149956
2020-02-14 08:00:00+00:00,"SBI revises fixed deposit (FD) rates. How they compare with Axis Bank, Bank of Baroda",Mint,0.00783548690378666
2020-02-08 08:00:00+00:00,Bank of India reduces six-month MCLR by 10 basis points,The Statesman,-0.44144442677497864
2020-02-24 08:00:00+00:00,Bank fixed deposit (FD) interest rates at 9%. Latest rates here,Mint,-0.01140703447163105
2020-01-02 08:00:00+00:00,Small savings schemes interest rates unchanged for Jan-Mar quarter of FY 2019-20:Fin Min,AffairsCloud.com,-0.051667969673871994
2020-02-20 08:00:00+00:00,"SBI, Axis Bank, PNB revise FD rates in February",CNBC TV18,-0.03359188511967659
2020-12-04 08:00:00+00:00,India's central bank keeps interest rates unchanged as inflation remains high,CNBC,-0.08232288807630539
2020-08-19 07:00:00+00:00,RBI keeps repo rate unchanged: Key things to know,The Times of India,0.034900883212685585
2020-12-04 08:00:00+00:00,"India's central bank holds rates, says will ensure ample liquidity",Reuters,0.28544600307941437
2020-09-30 07:00:00+00:00,Coronavirus Crisis Shatters India’s Big Dreams (Published 2020),The New York Times,-0.02585500478744507
2020-08-26 07:00:00+00:00,India’s turning point: An economic agenda to spur growth and jobs,McKinsey & Company,0.28872003965079784
2020-10-21 07:00:00+00:00,RBI reinforce liquidity measures while keeping the interest rate constant,Yale School of Management,0.2659718431532383
2020-07-31 07:00:00+00:00,India coronavirus: Gold rush as pandemic roils country's economy,BBC,-0.6750983074307442
2020-12-04 08:00:00+00:00,"RBI leaves policy rates unchanged, accommodative stance of monetary policy to continue as long as necessary",PIB,0.05816959589719772
2020-07-20 07:00:00+00:00,Check out banks with lowest home loan interest rates,Mint,-0.09202293679118156
