date,HDFCBANK_sentiment
2020-01-07,
2020-01-09,0.9345847629010677
2020-01-20,0.49608174432069063
2020-01-24,-0.9659296348690987
2020-02-17,0.3519879514351487
2020-02-18,0.46361997723579407
2020-02-20,0.025075256824493408
2020-02-26,0.9010289888828993
2020-03-04,0.11828854400664568
2020-03-05,-0.4351810924708843
2020-03-12,0.2737338561564684
2020-03-17,-0.9577027801424265
2020-03-19,-0.020428478717803955
2020-03-25,0.8768329368904233
2020-03-31,0.8867882788181305
2020-04-03,-0.26773545145988464
2020-04-08,0.9264125525951385
2020-04-10,-0.07846083678305149
2020-04-12,-0.8689780812710524
2020-04-13,0.8307610685005784
2020-04-16,0.08257556241005659
2020-04-18,0.10152489133179188
2020-04-19,0.177482258528471
2020-05-06,0.851742735132575
2020-05-11,-0.9424931816756725
2020-05-14,-0.9383925357833505
2020-05-27,0.8509834846481681
2020-05-28,0.10681799426674843
2020-05-29,-0.2023331392556429
2020-06-03,0.0059203412383794785
2020-06-04,0.6688864333555102
2020-06-07,-0.02654300257563591
2020-06-11,0.1296528074890375
2020-06-14,-0.6750476583838463
2020-06-15,-0.9532243302091956
2020-06-23,0.11500950157642365
2020-06-25,0.2521216180175543
2020-06-26,0.7027445062994957
2020-06-29,-0.8389802742749453
2020-06-30,0.024781852960586548
2020-07-02,0.048831368796527386
2020-07-06,0.08551024738699198
2020-07-07,0.6331152715720236
2020-07-14,-0.1608540117740631
2020-07-26,-0.7755816765129566
2020-07-27,-0.021555794402956963
2020-08-04,-0.46613552716250223
2020-08-05,-0.04706055453668038
2020-08-08,0.1346004419028759
2020-08-13,0.13079610280692577
2020-08-14,0.08076629228889942
2020-08-16,0.5901292581111193
2020-08-18,-0.054872164502739906
2020-09-03,0.06298237293958664
2020-09-11,-0.9342220621183515
2020-09-17,0.8575574001297355
2020-10-17,0.028593512251973152
2020-10-21,0.036997088231146336
2020-10-27,0.20803147368133068
2020-11-02,0.2831033440306783
2020-11-05,0.007539242506027222
2020-12-02,0.05598185257986188
2020-12-03,-0.9099928587675095
2020-12-04,-0.9372308181288341
2020-12-05,-0.7903767484240234
2020-12-08,-0.014758648350834846
2020-12-11,0.12569958250969648
2020-12-25,-0.47233994118869305
2021-01-08,0.03928514011204243
2021-01-17,0.011881701648235321
2021-01-19,0.5965844392776489
2021-01-22,-0.06403816925982635
2021-01-23,-0.3549172095954418
2021-02-10,-0.8313509523868561
2021-03-01,0.44590018317103386
2021-03-04,0.07192031294107437
2021-03-05,0.039468394592404366
2021-03-09,0.04253630340099335
2021-03-22,0.855799276381731
2021-03-30,0.1791816484183073
2021-03-31,-0.9625065224245191
2021-04-06,-0.9526677718386054
2021-04-23,0.465344550088048
2021-04-25,-0.009263359010219574
2021-04-27,0.05261995643377304
2021-04-28,0.12114589288830757
2021-05-05,0.04103377088904381
2021-05-11,-0.023144613951444626
2021-05-17,0.014901697635650635
2021-05-26,0.8758330009877682
2021-05-29,0.307845791336149
2021-05-31,-0.9034331887960434
2021-06-01,0.8367427326738834
2021-06-08,0.45983211789280176
2021-06-13,0.8014733660966158
2021-06-15,0.07076556421816349
2021-06-17,-0.4580246517434716
2021-06-18,0.036597274243831635
2021-06-20,0.08778473921120167
2021-06-22,0.14865442365407944
2021-06-25,0.6894802898168564
2021-06-28,0.9169659987092018
2021-06-30,-0.8931426163762808
2021-07-02,0.2721586627885699
2021-07-06,0.11437954986467957
2021-07-14,0.9161812905222178
2021-07-15,0.12543095089495182
2021-07-18,0.9325519874691963
2021-07-19,-0.9140640804544091
2021-07-25,-0.3928176003197829
2021-07-27,-0.8294228035956621
2021-07-28,0.41404061717912555
2021-08-01,0.4131819121539593
2021-08-18,0.7273357599042356
2021-08-19,0.5858727479353547
2021-08-21,0.4931825929088518
2021-08-23,-0.018994368612766266
2021-08-24,0.3000567171256989
2021-08-25,0.8708890601992607
2021-09-29,0.41966164018958807
2021-09-30,-0.09656702727079391
2021-10-01,0.35397006291896105
2021-10-14,0.016345273703336716
2021-10-19,0.8972539398819208
2021-10-25,0.4771163468249142
2021-11-16,-0.06267009302973747
2021-12-01,-0.952036420814693
2021-12-02,-0.1686372123658657
2021-12-13,0.18430910538882017
2021-12-17,0.12663575634360313
2021-12-21,-0.9557835115119815
2021-12-27,0.3747040815651417
2022-01-05,0.6708366624079645
2022-01-13,0.9334067441523075
2022-01-21,0.0058081261813640594
2022-02-10,0.04443462938070297
2022-02-15,-0.18035349994897842
2022-03-04,-0.9428644990548491
2022-03-14,0.625871678814292
2022-03-16,0.5005255602300167
2022-03-25,-0.7817193735390902
2022-03-29,-0.001986626535654068
2022-04-03,0.2558804303407669
2022-04-04,0.9200345724821091
2022-04-05,0.12565432319088893
2022-04-06,0.04106164583936334
2022-04-07,0.22070355527102947
2022-04-09,-0.036979904398322105
2022-04-11,0.043407756835222244
2022-04-14,0.03754932153970003
2022-04-18,-0.9471642030403018
2022-04-19,-0.8370640873908997
2022-04-20,-0.47437381371855736
2022-04-21,0.0029100291430950165
2022-04-25,0.8970931842923164
2022-05-25,0.029149310663342476
2022-06-10,-0.0632147379219532
2022-06-21,-0.25125419721007347
2022-06-22,0.550840056501329
2022-07-04,0.15652958489954472
2022-07-05,0.11925079673528671
2022-07-16,0.5463221206640204
2022-07-19,0.05342019349336624
2022-07-25,0.8736650086939335
2022-08-02,0.7749815247952938
2022-08-18,0.08104732818901539
2022-08-19,0.16372364107519388
2022-08-25,-0.009341483935713768
2022-09-08,0.10645723063498735
2022-09-11,0.5360552041480938
2022-09-12,-0.41703205183148384
