Date,Adj Close,Close,High,Low,Open,Volume,Net Sales/Income from operations,Total Income From Operations,Depreciation,Interest,P/L Before Tax,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,QuarterDate,P/EPS
2020-02-18,656.4459228515625,670.8458862304688,674.7318115234375,666.2742309570312,674.7318115234375,11127161,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,35.754135231566586
2020-02-19,672.7295532226562,687.4867553710938,688.6982421875,674.3660888671875,676.3090209960938,14084409,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,36.64104320384838
2020-02-20,664.744384765625,679.3263549804688,689.4068603515625,678.3434448242188,684.3780517578125,16892268,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,36.206121174598316
2020-02-24,646.4027709960938,660.58251953125,675.2346801757812,658.1138305664062,671.9202270507812,21370214,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,35.20712260327308
2020-02-25,633.6309814453125,647.5304565429688,663.53125,644.6045532226562,663.53125,27745062,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,34.51149136412378
2020-02-26,622.7154541015625,636.3755493164062,645.6788940429688,634.249755859375,644.6045532226562,29362748,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,33.91696373102192
2020-02-27,620.1432495117188,633.7468872070312,637.198486328125,625.8607177734375,634.546875,25054993,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,33.77686544181475
2020-02-28,594.3756713867188,607.4140625,620.374755859375,605.7454223632812,619.4146728515625,39315769,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,32.37340258097597
2020-03-02,588.7837524414062,601.6995239257812,625.8607177734375,594.8191528320312,619.506103515625,29500495,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,32.068831832320605
2020-03-03,600.7280883789062,613.9058227539062,618.95751953125,604.3739013671875,607.8941040039062,27398798,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,32.719394791879424
2020-03-04,599.3189697265625,612.4657592773438,618.9118041992188,597.9278564453125,618.0889282226562,22105261,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,32.64264540994349
2020-03-05,586.5470581054688,599.4136962890625,620.80908203125,597.0592651367188,618.1803588867188,30510390,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,31.947007522084355
2020-03-06,568.585693359375,581.0584106445312,588.8988647460938,567.38916015625,580.6012573242188,33734039,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,30.968719681883172
2020-03-09,498.4184875488281,509.3518981933594,567.3434448242188,500.59716796875,566.9091186523438,88187018,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,27.146976446014605
2020-03-11,516.044189453125,527.3642578125,538.7476806640625,506.5403137207031,506.5403137207031,59578576,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,28.10698199635757
2020-03-12,475.5363159179688,485.96783447265625,503.34014892578125,479.43035888671875,496.0255126953125,55970485,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,25.900670801632288
2020-03-13,494.4593505859375,505.3059692382813,521.1696166992188,430.8335876464844,456.25201416015625,73297403,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,26.931337177883307
2020-03-16,454.3765563964844,464.3438720703125,493.6025085449219,459.4521789550781,484.8477783203125,38482258,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,24.748178452967558
2020-03-17,450.9319152832031,460.8236999511719,484.5963439941406,458.6293029785156,478.7674560546875,45445979,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,24.56056183459712
2020-03-18,433.2615051269531,442.765625,473.5786437988281,439.3368835449219,468.732666015625,44730415,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,23.598121194278495
2020-03-19,410.5359497070313,419.5415649414063,442.0798645019531,407.8838195800781,420.6387634277344,61404010,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,22.360345844609547
2020-03-20,455.3830871582031,465.37249755859375,473.1214599609375,425.1647033691406,429.5077819824219,63360475,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,24.803000389880346
2020-03-23,395.4825134277344,404.1579284667969,434.30804443359375,400.3177185058594,418.8558044433594,40670949,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,21.54044190782867
2020-03-24,422.032958984375,431.2907409667969,443.45135498046875,409.5296325683594,425.1647033691406,45734887,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,22.9865446069921
2020-03-25,484.14788818359375,494.7682800292969,526.4498901367188,440.3655090332031,440.616943359375,73130298,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,26.369710685380923
2020-03-26,476.96783447265625,487.4307556152344,510.6091003417969,476.52734375,500.962890625,45744488,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,25.978640221822236
2020-03-27,476.6994018554688,487.1564636230469,506.2203063964844,478.2874450683594,500.59716796875,41657940,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,25.964019708903532
2020-03-30,460.9749755859375,471.0870666503906,491.3623962402344,466.3096923828125,475.7273254394531,30229866,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,25.107569476358254
2020-03-31,498.2395324707031,509.1690368652344,516.5065307617188,479.1103515625,490.97381591796875,44292810,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,27.13722943740213
2020-04-01,483.3426513671875,493.9454040527344,514.1292724609375,477.8302917480469,513.054931640625,41597459,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,28.85627769356343
2020-04-03,482.0006103515625,492.5738830566406,518.6323852539062,482.9048156738281,518.6323852539062,41367807,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,28.77615584188433
2020-04-07,539.5525512695312,551.3883666992188,554.9999389648438,502.88299560546875,503.8430480957031,54373624,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,32.21209261310634
2020-04-08,533.31201171875,545.0108642578125,561.8574829101562,530.31298828125,539.456298828125,49880330,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,31.83952308768657
2020-04-09,545.7484741210938,557.7200927734375,563.5946655273438,545.3994750976562,554.9999389648438,33032857,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,32.581998454990675
2020-04-13,531.9699096679688,543.639404296875,555.4571533203125,539.456298828125,550.4054565429688,23673784,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,31.759397592117537
2020-04-15,514.388916015625,525.6727294921875,565.0576171875,522.5411376953125,547.2509765625,35321842,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,30.709786030783583
2020-04-16,522.5308227539062,533.9931640625,542.8621826171875,523.4555053710938,525.6727294921875,37455706,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,31.195870015158583
2020-04-17,547.5601196289062,559.5715942382812,562.3146362304688,545.2394409179688,555.914306640625,33269335,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,32.690156395755594
2020-04-20,556.4177856445312,568.62353515625,574.6580810546875,549.5139770507812,560.4859619140625,36030932,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,33.218972277285445
2020-04-21,553.5323486328125,565.6748046875,572.3722534179688,532.1416625976562,553.1712646484375,61371628,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,33.046707381063435
2020-04-22,610.0106811523438,623.3920288085938,633.1296997070312,594.3162841796875,603.4595947265625,142683366,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,36.41854812849814
2020-04-23,613.2763671875,626.7293701171875,633.5640258789062,618.6832275390625,625.1064453125,65464502,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,36.61351445895522
2020-04-24,633.8993530273438,647.8047485351562,683.4408569335938,615.89453125,617.2431640625,134986308,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,37.84473749416978
2020-04-27,639.6031494140625,653.6336059570312,674.3203735351562,650.5477294921875,655.5765380859375,58482901,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,38.18526265158582
2020-04-28,638.8873291015625,652.9021606445312,665.3827514648438,636.4441528320312,662.8912353515625,78453401,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,38.142527110541046
2020-04-29,638.3504638671875,652.353515625,664.5598754882812,649.1762084960938,660.5596923828125,37494672,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,38.11047545475746
2020-04-30,655.8197021484375,670.2058715820312,683.4408569335938,657.4281005859375,664.697021484375,71345899,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,39.15341505363806
2020-05-04,642.0411987304688,656.1251831054688,669.7487182617188,648.0104370117188,658.319580078125,53456868,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,38.33081783465485
2020-05-05,653.42626953125,667.760009765625,676.1490478515625,661.6111450195312,664.582763671875,44903763,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,39.01052355410448
2020-05-06,653.4710083007812,667.8057861328125,678.8692016601562,660.833984375,669.2915649414062,40489094,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,39.01319452541978
2020-05-07,674.1387939453125,688.9268188476562,691.9898681640625,660.6054077148438,665.1770629882812,50026966,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,40.247092175839555
2020-05-08,698.6761474609375,714.00244140625,722.277099609375,702.7103881835938,706.322021484375,84262770,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,41.71200880363806
2020-05-11,705.3864135742188,720.8599243164062,738.3236694335938,718.8026733398438,722.3228149414062,67085063,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,42.11262170592351
2020-05-12,661.7470703125,676.2633056640625,716.9968872070312,669.7487182617188,715.3739013671875,100683202,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,39.50728777985075
2020-05-13,675.7872314453125,690.6114501953125,704.7102661132812,671.020751953125,704.7102661132812,66430125,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,40.34550635494403
2020-05-14,648.4657592773438,662.690673828125,690.726806640625,659.9678344726562,677.9432373046875,49266771,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,38.71437368819963
2020-05-15,659.0556640625,673.5128784179688,676.8818359375,653.0684204101562,666.40576171875,62152260,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,39.34660680970149
2020-05-18,650.6334228515625,664.9058837890625,683.9427490234375,659.0217895507812,678.40478515625,62796089,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,38.84378643889925
2020-05-19,636.2501831054688,650.2070922851562,674.5743408203125,647.5996704101562,672.4052734375,42315854,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,37.985085558535445
2020-05-20,647.44970703125,661.65234375,667.7210693359375,642.8692626953125,650.7147827148438,55320985,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,38.65371385261194
2020-05-21,650.8592529296875,665.1366577148438,674.4589233398438,657.6372680664062,662.2522583007812,39167981,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,38.85726883162314
2020-05-22,646.478759765625,660.6600952148438,672.8667602539062,658.3295288085938,670.0054931640625,37828973,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,38.5957468516791
2020-05-26,643.091796875,657.1988525390625,669.0363159179688,653.6221923828125,668.3209838867188,33216635,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,38.3935401119403
2020-05-27,652.8010864257812,667.12109375,671.020751953125,651.6377563476562,660.40625,35667956,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,38.97319918959888
2020-05-28,664.8585815429688,679.443115234375,682.9043579101562,668.7132568359375,671.4822387695312,40126278,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,39.69304964435634
2020-05-29,661.3135986328125,675.8203735351562,679.3277587890625,670.3977661132812,677.4817504882812,40022527,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,39.48140887360075
2020-06-01,686.5802612304688,701.6412963867188,709.9483032226562,681.1506958007812,683.019775390625,39943702,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,40.98986634211754
2020-06-02,693.51220703125,708.7252807617188,710.7097778320312,701.8489379882812,704.248779296875,22153960,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,41.40371385261194
2020-06-03,696.19921875,711.4712524414062,719.9397583007812,707.6407470703125,713.0172729492188,25381289,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,41.564132462686565
2020-06-04,713.427490234375,729.0774536132812,733.5540161132812,711.1712646484375,712.5557250976562,34202350,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,42.59268598414179
2020-06-05,714.2854614257812,729.9542846679688,746.7067260742188,726.2622680664062,736.0922241210938,33076685,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,42.64390814482276
2020-06-08,708.7760009765625,724.323974609375,746.891357421875,722.2472534179688,746.891357421875,31414953,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,42.3149851329291
2020-06-09,694.1670532226562,709.3944702148438,730.5542602539062,707.479248046875,720.0781860351562,25857161,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,41.44280914762127
2020-06-10,709.9728393554688,725.5469970703125,728.9620971679688,710.7328491210938,712.140380859375,22132647,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,42.38643817047575
2020-06-11,694.41552734375,709.6483154296875,723.608642578125,706.5562744140625,722.708740234375,20385805,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,41.45764342350746
2020-06-12,717.4918823242188,733.23095703125,735.1692504882812,690.865234375,692.249755859375,38548899,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,42.835336258162314
2020-06-15,729.120361328125,745.1145629882812,750.837158203125,720.4473876953125,722.2472534179688,53107403,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,43.529573810634325
2020-06-16,730.5429077148438,746.5682983398438,760.8055419921875,731.6156616210938,758.2442626953125,51187003,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,43.614501953125
2020-06-17,729.4816284179688,745.4837646484375,754.7598876953125,739.368896484375,742.2070922851562,41782053,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,43.55114199510261
2020-06-18,747.793701171875,764.1975708007812,768.397216796875,740.984130859375,741.6302490234375,40471557,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,44.644400069962686
2020-06-19,794.5337524414062,811.9628295898438,825.5308837890625,767.0127563476562,770.7047119140625,105804173,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,47.43485089202425
2020-06-22,788.5501098632812,805.8479614257812,832.6380004882812,800.7022094726562,818.423828125,60198705,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,47.07761849930037
2020-06-23,777.1473999023438,794.195068359375,813.9703369140625,791.9798583984375,807.6246948242188,37962078,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,46.396859695662314
2020-06-24,780.2859497070312,797.4024658203125,818.1007690429688,789.9492797851562,801.1175537109375,51586221,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,46.58423580340485
2020-06-25,775.7926025390625,792.810546875,807.1632080078125,790.572265625,797.0101928710938,39679374,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,46.315976270988806
2020-06-26,786.5179443359375,803.7711791992188,808.5477294921875,792.3952026367188,797.8409423828125,30921913,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,46.956295184235074
2020-06-29,778.1634521484375,795.2334594726562,802.8943481445312,791.72607421875,797.4948120117188,25621946,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,46.45751953125
2020-06-30,769.560546875,786.44189453125,803.47119140625,782.4960327148438,801.625244140625,30276420,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75,2020-03-31,45.94391324626866
2020-07-01,784.6889038085938,801.902099609375,807.1632080078125,788.2647705078125,793.7797241210938,28464103,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92,2020-06-30,60.73443527930292
2020-07-02,798.1976928710938,812.4012451171875,815.7471313476562,800.7252807617188,804.3942260742188,28789533,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92,2020-06-30,61.78000718816515
2020-07-03,810.6897583007812,825.1155395507812,827.46923828125,815.9317016601562,821.3773803710938,29434266,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92,2020-06-30,62.74688531739793
2020-07-06,839.6639404296875,854.6054077148438,857.4666748046875,827.0538330078125,833.0072021484375,47016185,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92,2020-06-30,64.98946907350522
2020-07-07,826.8092041015625,841.5218505859375,860.397216796875,833.607177734375,858.3897094726562,35189589,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92,2020-06-30,63.99452044129741
2020-07-08,815.2694091796875,829.7767333984375,846.8291015625,826.084716796875,841.7987670898438,26204095,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92,2020-06-30,63.10134745972813
2020-07-09,827.1719360351562,841.8910522460938,846.8521728515625,824.3540649414062,834.8532104492188,36418942,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92,2020-06-30,64.02259566835575
2020-07-10,851.566650390625,866.7197875976562,869.7426147460938,841.8910522460938,843.8524780273438,43759967,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92,2020-06-30,65.91073145438274
2020-07-13,877.3895263671875,893.002197265625,898.8632202148438,876.8496704101562,878.3956909179688,69608392,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92,2020-06-30,67.90940606557179
2020-07-14,869.2277221679688,884.6951904296875,896.09423828125,870.9886474609375,892.5407104492188,67331128,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92,2020-06-30,67.27768747430099
2020-07-15,836.127197265625,851.0056762695312,913.2158813476562,829.7767333984375,894.3635864257812,139669773,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92,2020-06-30,64.71572734254063
2020-07-16,835.855224609375,850.7288208007812,862.543212890625,836.4453735351562,852.3901977539062,60961724,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92,2020-06-30,64.694676827351
2020-07-17,866.8245239257812,882.249267578125,886.0797119140625,848.2366943359375,851.4672241210938,49726765,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92,2020-06-30,67.09168141840412
2020-07-20,870.5426025390625,886.0335083007812,891.61767578125,876.6881713867188,885.0643920898438,36592938,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92,2020-06-30,67.37945840085624
